,Player,Min,90s,xGChain90,xGBuildup90,PrgC90,PrgP90
69,Edu Expósito,1040,11.6,0.44,0.33,2.413793103448276,7.586206896551724
70,Omar Falah,14,0.2,0.0,0.0,0.0,0.0
71,Aleix Febas,1440,16.0,0.47,0.39,3.5,7.0
72,Pedro Fernandez,92,1.0,0.0,0.0,0.0,5.0
73,Roberto Férnandez,1123,12.5,0.0,0.0,0.64,0.8
74,Pablo Fornals,1304,14.5,0.71,0.44,1.5862068965517242,7.862068965517241
75,Jorge de Frutos,1103,12.3,0.0,0.0,2.6829268292682924,1.7073170731707317
76,Iñigo Ruiz de Galarreta,977,10.9,0.0,0.0,0.9174311926605504,7.798165137614679
77,Conor Gallagher,585,6.5,0.86,0.67,2.3076923076923075,3.5384615384615383
78,Álvaro García,1064,11.8,0.68,0.08,1.3559322033898304,1.7796610169491525
79,Eric García,1313,14.6,0.0,0.0,0.9589041095890412,6.986301369863014
80,Gonzalo García,170,1.9,1.55,0.64,0.0,2.1052631578947367
81,Rubén García,725,8.1,0.23,0.11,0.9876543209876544,2.5925925925925926
82,Víctor García,261,2.9,0.09,0.05,2.7586206896551726,1.0344827586206897
83,Gavi,67,0.7,1.03,0.83,1.4285714285714286,15.714285714285715
84,Bryan Gil,670,7.4,0.0,0.0,4.45945945945946,2.4324324324324325
85,Moi Gómez,813,9.0,0.24,0.16,1.2222222222222223,8.777777777777779
86,Unai Gómez,301,3.3,0.2,0.05,1.2121212121212122,1.8181818181818183
87,Nicolás González,904,10.0,0.56,0.3,2.1,2.6
88,Urko González,802,8.9,0.0,0.0,0.5617977528089887,3.1460674157303368
89,Urko González,11,0.1,0.0,0.0,0.0,10.0
90,Jon Gorrotxategi,1223,13.6,0.31,0.27,0.8823529411764706,3.9705882352941178
91,Mikel Goti,76,0.8,0.25,0.0,2.5,7.5
92,Antoine Griezmann,658,7.3,1.25,0.52,1.2328767123287672,4.931506849315069
93,Nemanja Gudelj,798,8.9,0.2,0.19,0.449438202247191,2.4719101123595504
94,Gonçalo Guedes,773,8.6,0.55,0.35,2.674418604651163,2.674418604651163
